K_Value	Silhouette_Score	Davies_Bouldin_Score
-------------------------------------------------------
2	0.076216	1.068452
3	0.070340	1.996324
4	0.066918	2.027810
5	0.067714	2.352044
6	0.069746	2.280330
7	0.069865	2.616845
8	0.068207	2.426382
9	0.072765	2.612344
10	0.073983	2.645156
11	0.074837	2.617105
12	0.075389	2.521984
13	0.076251	2.492069
14	0.077571	2.451117
15	0.080225	2.532952
16	0.081910	2.575936
17	0.083261	2.600978
18	0.084068	2.594270
19	0.084488	2.603778
20	0.085867	2.647363
21	0.087389	2.717685
22	0.091667	2.703297
23	0.091757	2.603717
24	0.094026	2.538782
25	0.096780	2.609136
26	0.098177	2.614707
27	0.099980	2.590578
28	0.100629	2.678737
29	0.104458	2.558752
30	0.105552	2.605056
31	0.105689	2.620625
32	0.106643	2.612171
33	0.107903	2.730358
34	0.109733	2.608214
35	0.111078	2.607932
36	0.111522	2.649127
37	0.112613	2.666647
38	0.113885	2.594018
39	0.114461	2.650428
40	0.116410	2.556120
41	0.115972	2.742103
42	0.116403	2.809109
43	0.117429	2.750094
44	0.120493	2.624056
45	0.120850	2.622351
46	0.118724	2.630761
47	0.120487	2.620850
48	0.121158	2.600259
49	0.121458	2.590226
50	0.122831	2.683271
51	0.124648	2.570400
52	0.125386	2.610235
53	0.124999	2.739131
54	0.127429	2.590598
55	0.128812	2.586001
56	0.130261	2.561730
57	0.131187	2.535232
58	0.132309	2.512400
59	0.131845	2.545016
60	0.134149	2.475304
61	0.134971	2.461968
62	0.136231	2.566054
63	0.137007	2.536383
64	0.137437	2.461787
65	0.137953	2.438659
66	0.138987	2.411796
67	0.139788	2.405019
68	0.140248	2.394235
69	0.137912	2.496506
70	0.137673	2.518549
71	0.140384	2.392600
72	0.141489	2.380459
73	0.142327	2.352717
74	0.143183	2.351588
75	0.143860	2.344917
76	0.144766	2.318875
77	0.145689	2.486443
78	0.146310	2.460333
79	0.146718	2.455131
80	0.146598	2.449939
81	0.148567	2.372349
82	0.149446	2.354056
83	0.150126	2.338049
84	0.150974	2.333559
85	0.151638	2.333565
86	0.151975	2.319102
87	0.151892	2.391101
88	0.153858	2.297423
89	0.153901	2.308315
90	0.154597	2.314142
91	0.155836	2.292324
92	0.155999	2.348979
93	0.157115	2.320699
94	0.157842	2.293715
95	0.158494	2.292475
96	0.158103	2.335952
97	0.160178	2.267033
98	0.160891	2.256889
99	0.161475	2.364441
100	0.161859	2.315499
101	0.163135	2.271774
102	0.163577	2.240075
103	0.164092	2.225830
104	0.162927	2.294823
105	0.166546	2.200059
106	0.167161	2.190136
107	0.167483	2.186079
108	0.168300	2.175165
109	0.168970	2.164273
110	0.169549	2.161441
111	0.167743	2.240889
112	0.170732	2.153130
113	0.171448	2.136291
114	0.172005	2.154542
115	0.172454	2.181892
116	0.173292	2.247002
117	0.173821	2.239409
118	0.175232	2.210716
119	0.175015	2.222292
120	0.175992	2.163137
121	0.176686	2.199265
122	0.177278	2.207648
123	0.178193	2.144930
124	0.178670	2.139194
125	0.177541	2.264741
126	0.178240	2.170949
127	0.180012	2.164980
128	0.180664	2.119921
129	0.181535	2.112260
130	0.182206	2.104507
131	0.182820	2.110429
132	0.183176	2.108075
133	0.184158	2.103082
134	0.184393	2.099093
135	0.184170	2.263639
136	0.184673	2.227262
137	0.185549	2.196584
138	0.185409	2.169469
139	0.185891	2.167026
140	0.186261	2.170091
141	0.187762	2.102332
142	0.187501	2.117154
143	0.188116	2.150301
144	0.187859	2.114074
145	0.188293	2.106923
146	0.189979	2.073117
147	0.190531	2.069268
148	0.190914	2.260080
149	0.191260	2.208687
150	0.191635	2.079750
151	0.190590	2.118228
152	0.191974	2.092708
153	0.191064	2.101968
154	0.191190	2.110123
155	0.191906	2.089664
156	0.192551	2.097061
157	0.193340	2.116042
158	0.193444	2.098067
159	0.194091	2.081163
160	0.196533	2.087761
161	0.193753	2.216720
162	0.194276	2.152403
163	0.197985	2.047465
164	0.198316	2.036142
165	0.198365	2.048897
166	0.199036	2.053291
167	0.199317	2.051734
168	0.199742	2.040011
169	0.199353	2.058519
170	0.199283	2.058729
171	0.201052	2.031627
172	0.201557	2.026033
173	0.201977	2.024447
174	0.202735	1.971908
175	0.203039	1.971983
176	0.203483	1.976805
177	0.204010	1.974654
178	0.204335	1.967385
179	0.204792	1.961659
180	0.205366	1.958050
181	0.205532	1.967414
182	0.205967	1.962915
183	0.206625	1.962910
184	0.207440	1.963600
185	0.206927	1.974545
186	0.207427	1.979258
187	0.208051	1.966960
188	0.208705	1.958874
189	0.209227	1.945343
190	0.209642	1.940284
191	0.210052	1.955826
192	0.210709	1.934801
193	0.211008	1.928137
194	0.211519	1.925140
195	0.211976	1.918437
196	0.212435	1.922987
197	0.212841	1.926831
198	0.212412	1.924638
199	0.214338	1.898655
200	0.214889	1.965797
201	0.214582	2.042354
202	0.214984	2.039248
203	0.215534	2.019631
204	0.215973	2.017927
205	0.214747	2.053506
206	0.216604	1.944347
207	0.217534	1.975410
208	0.217879	1.974524
209	0.218312	1.972576
210	0.218177	1.891212
211	0.218539	1.929748
212	0.219011	1.915743
213	0.219565	1.913092
214	0.219889	1.885501
215	0.219870	1.887108
216	0.220573	1.879370
217	0.220848	1.881740
218	0.221409	1.877020
219	0.221804	1.872369
220	0.222379	1.877750
221	0.222682	1.874566
