K_Value	Silhouette_Score	Davies_Bouldin_Score
-------------------------------------------------------
675	0.284183	1.927625
676	0.285580	1.911085
677	0.283032	1.908835
678	0.286281	1.915352
679	0.257985	2.006036
680	0.251199	1.703754
681	0.268327	1.746220
682	0.286576	1.885331
683	0.287045	1.882257
684	0.287507	1.881634
685	0.287549	1.880347
686	0.253175	1.680996
687	0.269008	1.565283
688	0.286439	1.856126
689	0.267992	1.807988
690	0.288067	1.876631
691	0.254196	1.649959
692	0.278170	1.772694
693	0.286645	1.908782
694	0.278113	1.775042
695	0.278244	1.775426
696	0.254681	1.606929
697	0.277953	1.775738
698	0.281031	1.810574
699	0.290158	1.862492
700	0.283525	1.821355
701	0.289558	1.841190
702	0.276007	1.435537
703	0.275494	1.433858
704	0.240618	1.744743
705	0.103640	1.370008
706	0.103585	1.370857
707	0.204235	1.366006
708	0.308335	1.367911
709	0.302766	1.446613
710	0.246152	1.638736
711	0.287382	1.801073
712	0.190056	1.395722
713	0.250989	1.595639
714	0.206810	1.315258
715	0.207005	1.407771
716	0.206768	1.352047
717	0.224946	1.694093
718	0.250791	1.614165
719	0.261121	1.716524
720	0.308787	1.414281
721	0.268883	1.404920
722	0.247622	1.666910
723	0.300688	1.417321
724	0.287706	1.743582
725	0.307997	1.420540
-------------------------------------------------------
FINAL CONCLUSION:
Optimal K (Eigengap Method): 55
Optimal K (Highest Silhouette): 720
